Region,ISO_code,Cname,Vaccine,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EMR,AFG,Afghanistan,DTP3,75,70,67,68,66,63,64,63,58,58,50,41,36,33,24
EUR,ALB,Albania,DTP3,98,99,99,99,99,98,99,98,97,98,97,97,98,97,97
AFR,DZA,Algeria,DTP3,95,95,95,95,95,95,93,95,95,88,86,87,86,89,86
EUR,AND,Andorra,DTP3,97,96,99,99,99,99,99,96,93,98,99,99,97,96,98
AFR,AGO,Angola,DTP3,80,93,91,86,91,73,81,83,44,47,47,46,47,42,31
AMR,ATG,Antigua and Barbuda,DTP3,99,99,98,99,98,99,99,99,99,99,97,99,98,97,95
AMR,ARG,Argentina,DTP3,94,94,91,92,94,94,94,91,91,98,93,96,93,83,83
EUR,ARM,Armenia,DTP3,93,95,95,95,94,93,89,88,87,90,91,94,94,94,93
WPR,AUS,Australia,DTP3,92,91,92,92,92,92,92,92,92,92,92,93,92,92,90
EUR,AUT,Austria,DTP3,83,83,83,83,83,83,83,85,83,86,83,84,83,84,81
EUR,AZE,Azerbaijan,DTP3,94,93,89,87,81,81,81,79,78,75,77,77,76,77,76
AMR,BHS,Bahamas (the),DTP3,96,97,98,98,99,96,93,95,95,93,93,92,94,99,99
EMR,BHR,Bahrain,DTP3,99,99,99,99,99,98,98,97,98,98,98,97,98,99,97
SEAR,BGD,Bangladesh,DTP3,95,95,95,95,94,97,96,94,94,93,99,87,83,85,82
AMR,BRB,Barbados,DTP3,94,91,87,91,86,93,85,93,84,92,93,89,87,84,93
EUR,BLR,Belarus,DTP3,97,98,98,98,98,96,97,95,99,99,99,50,99,99,99
EUR,BEL,Belgium,DTP3,99,99,99,98,98,98,99,98,98,97,95,95,95,95,95
AMR,BLZ,Belize,DTP3,95,95,98,95,96,97,94,96,98,96,97,96,89,96,91
AFR,BEN,Benin,DTP3,70,69,76,75,76,79,75,82,74,70,72,73,75,76,78
SEAR,BTN,Bhutan,DTP3,99,97,97,95,91,93,96,95,95,95,89,95,86,88,92
AMR,BOL,Bolivia (Plurinational State of),DTP3,94,94,93,95,91,93,88,84,83,85,84,88,77,71,75
EUR,BIH,Bosnia and Herzegovina,DTP3,86,89,92,88,89,90,91,95,87,93,84,87,80,91,85
AFR,BWA,Botswana,DTP3,95,95,95,95,95,96,96,96,96,96,96,96,97,97,97
AMR,BRA,Brazil,DTP3,93,97,95,99,99,99,99,99,99,99,99,99,99,98,98
WPR,BRN,Brunei Darussalam,DTP3,99,99,90,97,95,99,98,99,97,94,92,92,94,97,99
EUR,BGR,Bulgaria,DTP3,88,95,95,95,94,94,95,95,95,96,95,96,93,94,93
AFR,BFA,Burkina Faso,DTP3,91,88,90,91,91,92,93,89,86,82,79,79,69,62,45
AFR,BDI,Burundi,DTP3,95,96,96,96,96,94,92,99,92,87,83,82,81,81,80
AFR,CPV,Cabo Verde,DTP3,95,93,94,90,99,99,99,98,96,95,93,92,91,90,90
WPR,KHM,Cambodia,DTP3,97,92,95,94,92,94,91,82,80,82,85,69,54,60,59
AFR,CMR,Cameroon,DTP3,87,89,85,82,84,80,84,82,81,80,73,73,66,63,62
AMR,CAN,Canada,DTP3,96,96,95,96,96,95,95,94,95,93,91,91,88,89,89
AFR,CAF,Central African Republic (the),DTP3,47,23,47,47,45,42,45,48,51,54,51,47,44,40,37
AFR,TCD,Chad,DTP3,46,48,45,33,39,24,19,28,40,25,21,23,25,26,36
AMR,CHL,Chile,DTP3,92,91,90,94,92,94,95,96,94,91,93,96,97,97,91
WPR,CHN,China,DTP3,99,99,99,99,99,99,97,93,93,87,87,86,86,86,85
AMR,COL,Colombia,DTP3,90,91,91,85,88,92,92,93,93,93,89,92,81,80,79
AFR,COM,Comoros (the),DTP3,80,83,86,83,74,83,81,75,69,68,76,80,89,70,70
AFR,COG,Congo (the),DTP3,90,85,79,80,74,78,79,72,73,62,67,50,41,31,33
WPR,COK,Cook Islands,DTP3,99,98,98,93,99,82,99,99,99,99,99,96,97,90,92
AMR,CRI,Costa Rica,DTP3,91,95,91,85,88,86,90,89,89,91,90,88,94,91,88
AFR,CIV,Côte d'Ivoire,DTP3,67,80,82,62,85,81,74,76,77,76,67,61,64,66,65
EUR,HRV,Croatia,DTP3,95,96,96,96,97,96,96,96,96,96,96,94,95,94,93
AMR,CUB,Cuba,DTP3,96,96,96,96,96,96,95,93,89,89,88,72,99,98,95
EUR,CYP,Cyprus,DTP3,99,99,99,99,99,99,97,97,97,98,98,98,98,97,97
EUR,CZE,Czech Republic (the),DTP3,99,99,99,99,99,99,99,99,98,97,98,97,98,98,98
SEAR,PRK,Democratic People's Republic of Korea (the),DTP3,93,93,96,94,93,93,92,92,89,79,72,68,64,62,56
AFR,COD,Democratic Republic of the Congo (the),DTP3,80,74,75,74,60,72,65,70,62,60,54,41,38,30,40
EUR,DNK,Denmark,DTP3,94,94,94,91,90,89,88,87,93,93,95,96,98,97,97
EMR,DJI,Djibouti,DTP3,78,82,81,87,88,89,89,88,72,71,64,68,62,53,46
AMR,DMA,Dominica,DTP3,97,96,97,98,98,99,96,96,95,98,99,99,98,99,99
AMR,DOM,Dominican Republic (the),DTP3,91,83,85,84,88,82,82,85,89,87,79,79,82,72,78
AMR,ECU,Ecuador,DTP3,83,87,87,88,91,94,96,96,96,92,88,87,88,89,87
EMR,EGY,Egypt,DTP3,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98
AMR,SLV,El Salvador,DTP3,93,92,92,89,89,91,98,99,96,89,90,94,81,92,99
AFR,GNQ,Equatorial Guinea,DTP3,24,3,20,33,44,43,42,41,40,39,38,37,36,35,34
AFR,ERI,Eritrea,DTP3,94,94,94,96,90,92,94,91,94,96,98,93,90,86,81
EUR,EST,Estonia,DTP3,93,94,94,93,94,95,95,95,95,96,94,94,94,94,93
AFR,ETH,Ethiopia,DTP3,77,72,69,65,61,58,54,50,46,44,40,37,35,32,30
WPR,FJI,Fiji,DTP3,99,99,99,99,99,99,99,99,98,96,95,94,93,91,90
EUR,FIN,Finland,DTP3,98,98,99,99,99,99,99,99,97,97,98,98,98,98,99
EUR,FRA,France,DTP3,99,99,99,99,99,98,98,98,99,98,98,97,97,97,97
AFR,GAB,Gabon,DTP3,70,79,82,75,67,76,82,81,45,45,45,45,45,45,45
AFR,GMB,Gambia (the),DTP3,96,97,98,96,97,98,96,95,95,95,87,87,87,87,80
EUR,GEO,Georgia,DTP3,91,96,92,94,92,88,92,98,88,82,78,75,84,87,80
EUR,DEU,Germany,DTP3,96,96,96,96,96,96,96,96,96,96,96,97,93,93,90
